customer_id,region,segment,signup_date
C00153,Bronx,Consumer,2021-06-14
C00154,Staten Island,Consumer,2020-05-13
C00155,NJ / Metro,Consumer,2022-12-07
C00156,Manhattan,Consumer,2020-05-16
C00157,Queens,Consumer,2023-03-18
C00158,Queens,Consumer,2021-05-25
C00159,Manhattan,Consumer,2022-11-18
C00160,Queens,SMB,2022-12-12
C00161,Bronx,Consumer,2022-03-26
C00162,Brooklyn,Consumer,2024-12-22
C00163,Queens,Consumer,2024-08-28
C00164,Manhattan,Consumer,2022-11-08
C00165,Brooklyn,Consumer,2021-04-25
C00166,Manhattan,Consumer,2021-12-28
C00167,Bronx,Consumer,2020-08-14
C00168,Bronx,Consumer,2024-07-30
C00169,NJ / Metro,SMB,2021-02-06
C00170,Queens,Consumer,2023-12-25
C00171,Brooklyn,Consumer,2022-12-08
C00172,Queens,Consumer,2024-05-18
C00173,Staten Island,Consumer,2020-08-07
C00174,Brooklyn,Consumer,2024-09-05
C00175,Queens,Consumer,2024-01-24
C00176,Manhattan,Consumer,2020-12-27
C00177,Queens,Consumer,2023-05-06
C00178,Queens,Consumer,2022-10-15
C00179,NJ / Metro,SMB,2022-10-03
C00180,NJ / Metro,Consumer,2024-03-11
C00181,Bronx,Consumer,2021-11-24
C00182,Bronx,SMB,2020-05-08
C00183,Bronx,Consumer,2022-05-21
C00184,NJ / Metro,Consumer,2023-07-18
C00185,Bronx,SMB,2024-09-28
C00186,Bronx,Consumer,2024-08-27
C00187,Staten Island,Consumer,2020-10-08
C00188,NJ / Metro,SMB,2020-04-21
C00189,Manhattan,Consumer,2020-01-29
C00190,Brooklyn,Consumer,2022-04-23
C00191,Manhattan,Consumer,2021-05-05
C00192,Brooklyn,SMB,2024-11-02
C00193,Bronx,Consumer,2020-03-20
C00194,Brooklyn,Consumer,2021-03-03
C00195,Manhattan,SMB,2024-09-15
C00196,Bronx,Consumer,2022-07-24
C00197,Manhattan,Consumer,2022-05-09
C00198,Staten Island,Consumer,2021-10-01
C00199,Bronx,Consumer,2021-11-25
C00200,Bronx,Consumer,2023-05-01
C00201,Queens,Consumer,2024-08-25
C00202,Queens,Consumer,2021-11-13
C00203,Staten Island,Enterprise,2020-07-03
C00204,Staten Island,Consumer,2022-06-05
C00205,Manhattan,Consumer,2021-11-29
C00206,Queens,Consumer,2023-12-24
C00207,NJ / Metro,Consumer,2020-08-24
C00208,Staten Island,Consumer,2024-01-11
C00209,Manhattan,Consumer,2021-08-24
C00210,Staten Island,Consumer,2024-02-18
C00211,Manhattan,SMB,2023-07-03
C00212,Bronx,Consumer,2020-05-07
C00213,NJ / Metro,Consumer,2020-01-27
C00214,Manhattan,Consumer,2024-12-07
C00215,Queens,Consumer,2023-09-11
C00216,Bronx,Consumer,2021-08-15
C00217,Queens,Consumer,2024-10-07
C00218,Manhattan,Consumer,2021-10-02
C00219,Queens,Consumer,2020-05-17
C00220,Staten Island,Consumer,2023-01-24
C00221,NJ / Metro,Consumer,2023-10-27
C00222,Brooklyn,Consumer,2020-11-30
C00223,Staten Island,Consumer,2023-09-11
C00224,Queens,Consumer,2021-06-21
C00225,Staten Island,Consumer,2022-04-07
C00226,Manhattan,Consumer,2020-11-07
C00227,Queens,Consumer,2024-10-04
C00228,NJ / Metro,SMB,2020-12-22
C00229,Brooklyn,SMB,2020-03-24
C00230,Staten Island,Consumer,2023-02-24
C00231,Bronx,SMB,2022-12-24
C00232,Staten Island,Consumer,2021-12-20
C00233,Queens,Consumer,2021-07-31
C00234,NJ / Metro,Consumer,2021-10-10
C00235,Staten Island,Consumer,2021-02-02
C00236,Bronx,Consumer,2023-05-27
C00237,Bronx,Consumer,2023-04-27
C00238,Manhattan,Consumer,2022-03-07
C00239,Bronx,Enterprise,2021-03-02
C00240,Bronx,Enterprise,2021-09-25
C00241,NJ / Metro,Consumer,2024-06-17
C00242,NJ / Metro,Consumer,2021-06-25
C00243,Brooklyn,Consumer,2024-12-20
C00244,Staten Island,Consumer,2020-01-25
C00245,Manhattan,Consumer,2020-11-22
C00246,Queens,Consumer,2021-12-04
C00247,Staten Island,Consumer,2024-11-22
C00248,NJ / Metro,Consumer,2024-11-25
C00249,Queens,Consumer,2023-12-26
C00250,Manhattan,SMB,2021-12-31
C00251,Bronx,Enterprise,2020-06-11
C00252,Manhattan,Consumer,2023-01-16
C00253,NJ / Metro,Consumer,2022-12-10
C00254,Brooklyn,Consumer,2020-04-23
C00255,NJ / Metro,Consumer,2023-05-14
C00256,Manhattan,SMB,2023-02-02
C00257,NJ / Metro,Consumer,2020-12-23
C00258,Bronx,Consumer,2022-10-25
C00259,Manhattan,Consumer,2020-12-21
C00260,Bronx,Consumer,2020-07-09
C00261,Staten Island,Consumer,2020-07-26
C00262,Manhattan,Consumer,2022-12-18
C00263,Bronx,Consumer,2022-11-20
C00264,Queens,Enterprise,2020-05-09
C00265,Manhattan,Consumer,2023-01-03
C00266,Staten Island,Consumer,2023-06-07
C00267,Bronx,Consumer,2024-12-08
C00268,Staten Island,Consumer,2024-09-12
C00269,Brooklyn,Consumer,2022-04-16
C00270,Staten Island,Consumer,2021-03-27
C00271,NJ / Metro,Consumer,2020-09-06
C00272,Queens,Consumer,2022-08-14
C00273,Staten Island,Consumer,2023-12-14
C00274,Queens,Consumer,2020-10-07
C00275,NJ / Metro,SMB,2023-02-18
C00276,Brooklyn,Consumer,2020-04-10
C00277,Bronx,Consumer,2023-05-01
C00278,Queens,SMB,2020-12-06
C00279,Manhattan,Consumer,2022-05-20
C00280,NJ / Metro,Consumer,2022-02-24
C00281,Staten Island,Consumer,2021-02-06
C00282,Queens,Consumer,2024-10-07
C00283,NJ / Metro,Consumer,2022-08-29
C00284,Bronx,Consumer,2022-12-15
C00285,NJ / Metro,Consumer,2021-10-02
C00286,NJ / Metro,Consumer,2022-02-28
C00287,Manhattan,Consumer,2020-01-28
C00288,Bronx,SMB,2023-09-09
C00289,Manhattan,Consumer,2021-07-31
C00290,Bronx,Consumer,2021-10-21
C00291,Staten Island,Consumer,2024-12-27
C00292,Manhattan,Consumer,2024-10-31
C00293,Staten Island,SMB,2021-02-27
C00294,NJ / Metro,Consumer,2021-05-05
C00295,NJ / Metro,SMB,2023-02-28
C00296,Manhattan,Consumer,2021-12-26
C00297,Bronx,Consumer,2023-09-05
C00298,Brooklyn,Consumer,2023-10-26
C00299,Brooklyn,Consumer,2023-12-28
C00300,Brooklyn,Consumer,2020-03-08
C00301,Brooklyn,Consumer,2020-04-10
C00302,NJ / Metro,Consumer,2024-03-31
C00303,Queens,Consumer,2020-12-29
C00304,NJ / Metro,Consumer,2020-12-27
C00305,Bronx,Consumer,2024-12-04
C00306,Manhattan,Consumer,2022-11-22
C00307,Staten Island,Consumer,2023-11-26
C00308,Bronx,Consumer,2024-10-19
C00309,NJ / Metro,Consumer,2021-11-26
C00310,Queens,Enterprise,2020-12-26
C00311,Queens,Consumer,2024-12-02
C00312,Queens,Consumer,2020-10-15
C00313,NJ / Metro,Consumer,2024-03-29
C00314,Staten Island,SMB,2022-12-29
C00315,Staten Island,Consumer,2020-07-04
C00316,Manhattan,Consumer,2021-09-25
C00317,Bronx,Consumer,2021-05-04
C00318,NJ / Metro,Enterprise,2020-06-20
C00319,Brooklyn,Consumer,2021-07-11
C00320,Staten Island,Consumer,2021-12-02
C00321,Bronx,Consumer,2023-10-19
C00322,Staten Island,Consumer,2024-11-23
C00323,NJ / Metro,Consumer,2024-01-24
C00324,Brooklyn,Consumer,2020-11-16
C00325,Manhattan,Consumer,2020-11-26
C00326,Queens,Consumer,2023-08-30
C00327,Staten Island,Consumer,2020-08-29
C00328,Staten Island,Consumer,2023-04-08
C00329,Staten Island,SMB,2023-07-24
C00330,Brooklyn,Consumer,2022-03-26
C00331,NJ / Metro,Consumer,2020-03-07
C00332,Staten Island,Consumer,2021-08-16
C00333,Brooklyn,Consumer,2023-07-23
C00334,Manhattan,Consumer,2020-06-29
C00335,Queens,Consumer,2022-05-08
C00336,Bronx,Consumer,2021-07-08
C00337,Brooklyn,Consumer,2023-01-01
C00338,Manhattan,Consumer,2022-06-05
C00339,Brooklyn,Consumer,2021-03-18
C00340,Queens,Consumer,2020-07-29
C00341,Queens,Consumer,2022-03-29
C00342,Brooklyn,SMB,2021-07-03
C00343,Bronx,Consumer,2020-02-05
C00344,Brooklyn,SMB,2021-04-25
C00345,Queens,Consumer,2020-11-13
C00346,NJ / Metro,Consumer,2023-11-24
C00347,Bronx,Consumer,2023-06-24
C00348,Queens,Consumer,2021-07-03
C00349,Brooklyn,Consumer,2024-02-24
C00350,Manhattan,Consumer,2020-11-26
C00351,Brooklyn,Consumer,2022-11-22
C00352,Bronx,Consumer,2022-07-17
C00353,NJ / Metro,Consumer,2021-09-05
C00354,Queens,Consumer,2024-12-02
C00355,Brooklyn,Consumer,2020-11-27
C00356,Queens,Consumer,2022-11-13
C00357,Brooklyn,Consumer,2021-02-17
C00358,NJ / Metro,Consumer,2023-11-25
C00359,Bronx,Consumer,2023-10-20
C00360,Queens,Consumer,2022-10-31
C00361,Bronx,Consumer,2023-03-16
C00362,Bronx,Consumer,2021-07-11
C00363,Queens,Consumer,2024-05-02
C00364,Bronx,Consumer,2023-12-10
C00365,NJ / Metro,Consumer,2024-05-05
C00366,Brooklyn,Consumer,2023-10-14
C00367,Staten Island,Consumer,2024-09-28
C00368,NJ / Metro,Consumer,2022-12-03
C00369,Manhattan,Consumer,2024-08-10
C00370,Manhattan,Consumer,2020-12-18
C00371,NJ / Metro,SMB,2023-09-15
C00372,NJ / Metro,Consumer,2020-12-19
C00373,Staten Island,Consumer,2021-07-01
C00374,Staten Island,Consumer,2021-12-07
C00375,Manhattan,Consumer,2022-06-11
C00376,Bronx,Consumer,2024-06-07
C00377,Manhattan,Consumer,2022-12-31
C00378,Manhattan,Consumer,2023-09-17
C00379,Queens,SMB,2024-11-26
C00380,Staten Island,SMB,2023-05-05
C00381,Queens,Consumer,2021-07-06
C00382,Bronx,Consumer,2024-07-19
C00383,NJ / Metro,Consumer,2024-04-24
C00384,Brooklyn,Consumer,2022-05-05
C00385,NJ / Metro,Consumer,2023-07-17
C00386,NJ / Metro,Consumer,2020-07-08
C00387,Manhattan,Consumer,2023-06-20
C00388,Brooklyn,Consumer,2021-12-22
C00389,Manhattan,Consumer,2021-06-23
C00390,Bronx,Consumer,2020-05-18
C00391,Queens,Consumer,2021-12-09
C00392,NJ / Metro,Consumer,2023-12-22
C00393,NJ / Metro,Consumer,2020-12-04
C00394,Manhattan,Consumer,2020-01-09
C00395,Queens,Consumer,2021-01-12
C00396,NJ / Metro,SMB,2024-01-04
C00397,Bronx,Consumer,2022-08-10
C00398,Queens,Consumer,2022-08-30
C00399,Bronx,Consumer,2020-11-14
C00400,Staten Island,Consumer,2023-08-21
C00401,Brooklyn,Enterprise,2022-08-24
C00402,Bronx,Consumer,2021-05-28
C00403,Bronx,Consumer,2022-03-13
C00404,Staten Island,Consumer,2022-06-26
C00405,Staten Island,Consumer,2020-09-06
C00406,Manhattan,Consumer,2024-12-01
C00407,Staten Island,Consumer,2020-12-23
C00408,Manhattan,Consumer,2022-09-03
C00409,Brooklyn,Consumer,2022-12-22
C00410,Staten Island,Consumer,2024-07-14
C00411,Manhattan,SMB,2024-07-05
C00412,Manhattan,Consumer,2022-02-28
C00413,Queens,Consumer,2021-11-09
C00414,Queens,Consumer,2022-02-04
C00415,Queens,Consumer,2024-05-18
C00416,Staten Island,Consumer,2023-05-28
C00417,Queens,Consumer,2020-04-10
C00418,Queens,Consumer,2023-08-10
C00419,Staten Island,Consumer,2020-08-29
C00420,Queens,Consumer,2023-01-12
C00421,Manhattan,Consumer,2022-11-18
C00422,NJ / Metro,Consumer,2022-07-21
C00423,Queens,Consumer,2024-04-26
C00424,Queens,SMB,2022-02-22
C00425,Manhattan,Consumer,2020-06-07
C00426,Queens,Consumer,2024-12-10
C00427,Staten Island,Consumer,2023-01-18
C00428,Bronx,Consumer,2020-07-18
C00429,Manhattan,Consumer,2023-09-24
C00430,Manhattan,SMB,2020-07-22
C00431,Staten Island,Consumer,2024-03-06
C00432,Staten Island,Consumer,2020-06-03
C00433,Bronx,Consumer,2024-09-02
C00434,Bronx,Consumer,2020-10-29
C00435,Brooklyn,Consumer,2024-04-07
C00436,Bronx,Consumer,2021-01-01
C00437,Staten Island,SMB,2024-07-16
C00438,Manhattan,Consumer,2022-05-27
C00439,Queens,Consumer,2023-10-20
C00440,Staten Island,Consumer,2021-12-20
C00441,Brooklyn,Consumer,2021-03-23
C00442,NJ / Metro,Consumer,2021-05-31
C00443,Queens,Consumer,2020-01-12
C00444,NJ / Metro,SMB,2023-11-01
C00445,Queens,Consumer,2020-08-01
C00446,Queens,Enterprise,2021-06-30
C00447,Manhattan,Consumer,2021-09-10
C00448,Staten Island,Consumer,2020-03-04
C00449,Queens,Consumer,2023-11-04
C00450,Queens,Consumer,2024-12-29
C00451,NJ / Metro,Consumer,2021-05-19
C00452,Queens,Consumer,2020-05-21
C00453,Manhattan,Consumer,2023-05-30
C00454,Manhattan,Consumer,2024-12-26
C00455,Bronx,Consumer,2022-10-18
C00456,Manhattan,Enterprise,2024-07-29
C00457,Bronx,Consumer,2024-08-18
C00458,Queens,Consumer,2023-07-19
C00459,Staten Island,Consumer,2022-02-23
C00460,Manhattan,Consumer,2023-03-04
C00461,Brooklyn,SMB,2024-09-17
C00462,Manhattan,Consumer,2022-12-08
C00463,NJ / Metro,Consumer,2024-06-21
C00464,Manhattan,Consumer,2020-03-10
C00465,Manhattan,SMB,2022-12-28
C00466,Queens,Consumer,2023-01-03
C00467,NJ / Metro,Consumer,2020-12-27
C00468,Brooklyn,Consumer,2020-08-05
C00469,Manhattan,Consumer,2021-01-22
C00470,Queens,Consumer,2020-12-20
C00471,Brooklyn,Consumer,2021-07-17
C00472,Bronx,Consumer,2024-09-07
C00473,Staten Island,Consumer,2023-05-07
C00474,Queens,SMB,2023-06-16
C00475,Bronx,Consumer,2024-10-26
C00476,NJ / Metro,Consumer,2023-05-28
C00477,Queens,Consumer,2023-03-24
C00478,Bronx,Consumer,2020-09-16
C00479,Brooklyn,Consumer,2022-03-19
C00480,Brooklyn,Consumer,2022-10-02
C00481,Queens,Consumer,2021-11-28
C00482,Brooklyn,SMB,2021-01-25
C00483,Staten Island,Consumer,2024-01-17
C00484,Manhattan,Enterprise,2022-12-21
C00485,Bronx,Consumer,2021-10-03
C00486,Manhattan,Consumer,2023-09-17
C00487,Brooklyn,Consumer,2021-08-03
C00488,Queens,SMB,2021-08-12
C00489,Manhattan,Consumer,2023-01-08
C00490,Brooklyn,Consumer,2021-09-10
C00491,NJ / Metro,Consumer,2020-12-03
C00492,Staten Island,Consumer,2021-04-18
C00493,Queens,Consumer,2022-03-04
C00494,Staten Island,Consumer,2023-09-18
C00495,Staten Island,Consumer,2021-03-09
C00496,Staten Island,SMB,2022-09-08
C00497,NJ / Metro,Consumer,2021-06-22
C00498,Brooklyn,Consumer,2020-04-06
C00499,Bronx,Consumer,2024-11-10
C00500,Staten Island,Consumer,2023-06-04
C00501,Manhattan,Consumer,2022-11-26
C00502,Brooklyn,Consumer,2022-01-11
C00503,Brooklyn,Consumer,2023-11-27
C00504,Brooklyn,SMB,2020-09-13
C00505,Queens,Consumer,2020-05-10
C00506,Staten Island,SMB,2020-09-29
C00507,Staten Island,Consumer,2021-02-23
C00508,Bronx,Consumer,2024-01-07
C00509,Staten Island,Consumer,2021-02-03
C00510,Staten Island,Consumer,2023-08-22
C00511,NJ / Metro,Consumer,2022-04-25
C00512,NJ / Metro,Consumer,2021-10-08
C00513,Bronx,Consumer,2020-01-17
C00514,Brooklyn,Consumer,2023-12-16
C00515,Staten Island,Consumer,2023-03-27
C00516,Brooklyn,Consumer,2024-08-04
C00517,NJ / Metro,Consumer,2023-01-10
C00518,Bronx,Consumer,2021-08-15
C00519,Staten Island,Consumer,2021-12-14
C00520,Manhattan,Consumer,2021-12-10
C00521,Manhattan,Consumer,2020-04-03
C00522,Brooklyn,Consumer,2020-08-10
C00523,Staten Island,Consumer,2020-06-07
C00524,NJ / Metro,Consumer,2023-08-04
C00525,Manhattan,Consumer,2024-12-07
C00526,Staten Island,Consumer,2020-01-15
C00527,Staten Island,Consumer,2024-12-31
C00528,Manhattan,Consumer,2022-07-04
C00529,Manhattan,SMB,2020-05-31
C00530,Manhattan,Consumer,2020-11-11
C00531,Queens,Consumer,2021-01-31
C00532,Brooklyn,Enterprise,2024-10-28
C00533,Brooklyn,Consumer,2024-05-08
C00534,Queens,Consumer,2020-10-29
C00535,Bronx,Consumer,2020-01-10
C00536,Brooklyn,SMB,2024-09-26
C00537,Bronx,Consumer,2023-05-20
C00538,Bronx,Consumer,2022-03-29
C00539,Queens,Consumer,2021-12-26
C00540,Staten Island,Consumer,2021-02-16
C00541,Queens,Consumer,2021-04-05
C00542,NJ / Metro,Consumer,2023-07-20
C00543,NJ / Metro,Consumer,2023-04-08
C00544,Bronx,SMB,2020-12-27
C00545,Brooklyn,Consumer,2022-10-10
C00546,NJ / Metro,Consumer,2022-09-06
C00547,Staten Island,Consumer,2023-12-27
C00548,Queens,Consumer,2021-09-20
C00549,Manhattan,Consumer,2023-06-29
C00550,Brooklyn,SMB,2023-12-07
C00551,Brooklyn,Consumer,2021-06-26
C00552,Manhattan,Consumer,2024-10-17
C00553,NJ / Metro,Consumer,2021-09-08
C00554,Brooklyn,Consumer,2022-05-16
C00555,Bronx,Consumer,2024-01-04
C00556,NJ / Metro,Consumer,2024-11-25
C00557,Manhattan,SMB,2021-12-03
C00558,Staten Island,Consumer,2024-12-23
C00559,Bronx,Consumer,2021-11-27
C00560,NJ / Metro,SMB,2020-07-15
C00561,Bronx,Consumer,2020-08-08
C00562,NJ / Metro,SMB,2020-12-10
C00563,Manhattan,Consumer,2021-05-09
C00564,Manhattan,SMB,2024-12-03
C00565,Staten Island,SMB,2023-01-01
C00566,NJ / Metro,SMB,2023-11-07
C00567,Staten Island,Enterprise,2021-12-20
C00568,Manhattan,Consumer,2024-09-07
C00569,Queens,Consumer,2022-05-01
C00570,Queens,Consumer,2024-03-19
C00571,Bronx,Enterprise,2020-01-27
C00572,Bronx,Consumer,2020-09-01
C00573,Manhattan,Consumer,2024-12-23
C00574,Staten Island,Consumer,2020-12-02
C00575,Brooklyn,Consumer,2023-11-29
C00576,Manhattan,Consumer,2022-09-24
C00577,Bronx,Consumer,2023-12-22
C00578,Staten Island,Consumer,2020-07-11
C00579,Queens,Consumer,2024-12-19
C00580,Staten Island,Consumer,2022-10-24
C00581,NJ / Metro,Consumer,2024-04-04
C00582,Bronx,Enterprise,2022-11-23
C00583,Brooklyn,SMB,2021-04-30
C00584,Bronx,Consumer,2023-02-18
C00585,Queens,Consumer,2021-11-25
C00586,Staten Island,Consumer,2023-01-28
C00587,Queens,Consumer,2024-02-13
C00588,Staten Island,Consumer,2022-07-13
C00589,Manhattan,Consumer,2024-06-18
C00590,NJ / Metro,Consumer,2023-08-10
C00591,Bronx,SMB,2023-12-25
C00592,Bronx,Consumer,2024-06-23
C00593,Bronx,Consumer,2023-04-23
C00594,Manhattan,Consumer,2024-12-25
C00595,NJ / Metro,Consumer,2022-05-10
C00596,Bronx,Consumer,2023-01-13
C00597,Queens,Consumer,2021-11-29
C00598,Queens,Consumer,2023-10-04
C00599,Staten Island,Consumer,2024-04-03
C00600,Staten Island,Consumer,2020-12-04
C00601,Bronx,Consumer,2022-02-28
C00602,Brooklyn,Consumer,2023-11-27
C00603,Staten Island,SMB,2023-11-20
C00604,Staten Island,Consumer,2022-02-26
C00605,Brooklyn,SMB,2023-12-23
C00606,NJ / Metro,Consumer,2020-03-28
C00607,Brooklyn,SMB,2021-06-25
C00608,Bronx,Consumer,2021-12-04
C00609,Staten Island,Consumer,2024-09-29
C00610,Bronx,Consumer,2023-06-01
C00611,Bronx,Consumer,2021-12-26
C00612,Staten Island,Consumer,2020-03-31
C00613,Brooklyn,Consumer,2021-12-07
C00614,Manhattan,Consumer,2024-09-27
C00615,Staten Island,Consumer,2021-08-09
C00616,Manhattan,Consumer,2021-03-31
C00617,Queens,Consumer,2022-11-04
C00618,Queens,Consumer,2024-09-30
C00619,Brooklyn,SMB,2020-10-18
C00620,Manhattan,Consumer,2024-12-27
C00621,Manhattan,Consumer,2021-12-25
C00622,Staten Island,Consumer,2021-02-16
C00623,NJ / Metro,Consumer,2023-07-06
C00624,Staten Island,Enterprise,2022-06-25
C00625,Brooklyn,Consumer,2023-08-26
C00626,Brooklyn,Consumer,2022-04-01
C00627,Brooklyn,Consumer,2022-05-01
C00628,Queens,Consumer,2024-09-15
C00629,Manhattan,SMB,2023-11-09
C00630,Brooklyn,Consumer,2021-01-15
C00631,Manhattan,Consumer,2021-11-18
C00632,Staten Island,Consumer,2020-07-14
C00633,Staten Island,Consumer,2020-11-30
C00634,NJ / Metro,Consumer,2024-07-29
C00635,Brooklyn,Consumer,2021-09-18
C00636,NJ / Metro,Consumer,2023-11-24
C00637,Staten Island,Consumer,2023-09-26
C00638,Manhattan,SMB,2022-06-22
C00639,Manhattan,Consumer,2020-11-15
