date,year,month,month_name,day,day_of_week,day_name,week_of_year,quarter,season,is_weekend,is_us_holiday,us_holiday_name,is_thanksgiving_period,is_black_friday,is_black_friday_cyber_period,is_christmas_period,is_diwali_period,is_lunar_new_year_period,is_eid_period,is_holiday_season,fiscal_year,fiscal_quarter,fiscal_month
2020-02-02,2020,2,February,2,7,Sunday,5,1,Winter,1,0,,0,0,0,0,0,0,0,0,2020,1,2
2020-02-03,2020,2,February,3,1,Monday,6,1,Winter,0,0,,0,0,0,0,0,0,0,0,2020,1,2
2020-02-04,2020,2,February,4,2,Tuesday,6,1,Winter,0,0,,0,0,0,0,0,0,0,0,2020,1,2
2020-02-05,2020,2,February,5,3,Wednesday,6,1,Winter,0,0,,0,0,0,0,0,0,0,0,2020,1,2
2020-02-06,2020,2,February,6,4,Thursday,6,1,Winter,0,0,,0,0,0,0,0,0,0,0,2020,1,2
2020-02-07,2020,2,February,7,5,Friday,6,1,Winter,0,0,,0,0,0,0,0,0,0,0,2020,1,2
2020-02-08,2020,2,February,8,6,Saturday,6,1,Winter,1,0,,0,0,0,0,0,0,0,0,2020,1,2
2020-02-09,2020,2,February,9,7,Sunday,6,1,Winter,1,0,,0,0,0,0,0,0,0,0,2020,1,2
2020-02-10,2020,2,February,10,1,Monday,7,1,Winter,0,0,,0,0,0,0,0,0,0,0,2020,1,2
2020-02-11,2020,2,February,11,2,Tuesday,7,1,Winter,0,0,,0,0,0,0,0,0,0,0,2020,1,2
2020-02-12,2020,2,February,12,3,Wednesday,7,1,Winter,0,0,,0,0,0,0,0,0,0,0,2020,1,2
2020-02-13,2020,2,February,13,4,Thursday,7,1,Winter,0,0,,0,0,0,0,0,0,0,0,2020,1,2
2020-02-14,2020,2,February,14,5,Friday,7,1,Winter,0,0,,0,0,0,0,0,0,0,0,2020,1,2
2020-02-15,2020,2,February,15,6,Saturday,7,1,Winter,1,0,,0,0,0,0,0,0,0,0,2020,1,2
2020-02-16,2020,2,February,16,7,Sunday,7,1,Winter,1,0,,0,0,0,0,0,0,0,0,2020,1,2
2020-02-17,2020,2,February,17,1,Monday,8,1,Winter,0,1,Presidents Day,0,0,0,0,0,0,0,0,2020,1,2
2020-02-18,2020,2,February,18,2,Tuesday,8,1,Winter,0,0,,0,0,0,0,0,0,0,0,2020,1,2
2020-02-19,2020,2,February,19,3,Wednesday,8,1,Winter,0,0,,0,0,0,0,0,0,0,0,2020,1,2
2020-02-20,2020,2,February,20,4,Thursday,8,1,Winter,0,0,,0,0,0,0,0,0,0,0,2020,1,2
2020-02-21,2020,2,February,21,5,Friday,8,1,Winter,0,0,,0,0,0,0,0,0,0,0,2020,1,2
2020-02-22,2020,2,February,22,6,Saturday,8,1,Winter,1,0,,0,0,0,0,0,0,0,0,2020,1,2
2020-02-23,2020,2,February,23,7,Sunday,8,1,Winter,1,0,,0,0,0,0,0,0,0,0,2020,1,2
2020-02-24,2020,2,February,24,1,Monday,9,1,Winter,0,0,,0,0,0,0,0,0,0,0,2020,1,2
2020-02-25,2020,2,February,25,2,Tuesday,9,1,Winter,0,0,,0,0,0,0,0,0,0,0,2020,1,2
2020-02-26,2020,2,February,26,3,Wednesday,9,1,Winter,0,0,,0,0,0,0,0,0,0,0,2020,1,2
2020-02-27,2020,2,February,27,4,Thursday,9,1,Winter,0,0,,0,0,0,0,0,0,0,0,2020,1,2
2020-02-28,2020,2,February,28,5,Friday,9,1,Winter,0,0,,0,0,0,0,0,0,0,0,2020,1,2
2020-02-29,2020,2,February,29,6,Saturday,9,1,Winter,1,0,,0,0,0,0,0,0,0,0,2020,1,2
2020-03-01,2020,3,March,1,7,Sunday,9,1,Spring,1,0,,0,0,0,0,0,0,0,0,2020,1,3
2020-03-02,2020,3,March,2,1,Monday,10,1,Spring,0,0,,0,0,0,0,0,0,0,0,2020,1,3
2020-03-03,2020,3,March,3,2,Tuesday,10,1,Spring,0,0,,0,0,0,0,0,0,0,0,2020,1,3
2020-03-04,2020,3,March,4,3,Wednesday,10,1,Spring,0,0,,0,0,0,0,0,0,0,0,2020,1,3
2020-03-05,2020,3,March,5,4,Thursday,10,1,Spring,0,0,,0,0,0,0,0,0,0,0,2020,1,3
2020-03-06,2020,3,March,6,5,Friday,10,1,Spring,0,0,,0,0,0,0,0,0,0,0,2020,1,3
2020-03-07,2020,3,March,7,6,Saturday,10,1,Spring,1,0,,0,0,0,0,0,0,0,0,2020,1,3
2020-03-08,2020,3,March,8,7,Sunday,10,1,Spring,1,0,,0,0,0,0,0,0,0,0,2020,1,3
2020-03-09,2020,3,March,9,1,Monday,11,1,Spring,0,0,,0,0,0,0,0,0,0,0,2020,1,3
2020-03-10,2020,3,March,10,2,Tuesday,11,1,Spring,0,0,,0,0,0,0,0,0,0,0,2020,1,3
2020-03-11,2020,3,March,11,3,Wednesday,11,1,Spring,0,0,,0,0,0,0,0,0,0,0,2020,1,3
2020-03-12,2020,3,March,12,4,Thursday,11,1,Spring,0,0,,0,0,0,0,0,0,0,0,2020,1,3
2020-03-13,2020,3,March,13,5,Friday,11,1,Spring,0,0,,0,0,0,0,0,0,0,0,2020,1,3
2020-03-14,2020,3,March,14,6,Saturday,11,1,Spring,1,0,,0,0,0,0,0,0,0,0,2020,1,3
2020-03-15,2020,3,March,15,7,Sunday,11,1,Spring,1,0,,0,0,0,0,0,0,0,0,2020,1,3
2020-03-16,2020,3,March,16,1,Monday,12,1,Spring,0,0,,0,0,0,0,0,0,0,0,2020,1,3
2020-03-17,2020,3,March,17,2,Tuesday,12,1,Spring,0,0,,0,0,0,0,0,0,0,0,2020,1,3
2020-03-18,2020,3,March,18,3,Wednesday,12,1,Spring,0,0,,0,0,0,0,0,0,0,0,2020,1,3
2020-03-19,2020,3,March,19,4,Thursday,12,1,Spring,0,0,,0,0,0,0,0,0,0,0,2020,1,3
2020-03-20,2020,3,March,20,5,Friday,12,1,Spring,0,0,,0,0,0,0,0,0,0,0,2020,1,3
2020-03-21,2020,3,March,21,6,Saturday,12,1,Spring,1,0,,0,0,0,0,0,0,0,0,2020,1,3
2020-03-22,2020,3,March,22,7,Sunday,12,1,Spring,1,0,,0,0,0,0,0,0,0,0,2020,1,3
2020-03-23,2020,3,March,23,1,Monday,13,1,Spring,0,0,,0,0,0,0,0,0,0,0,2020,1,3
2020-03-24,2020,3,March,24,2,Tuesday,13,1,Spring,0,0,,0,0,0,0,0,0,0,0,2020,1,3
2020-03-25,2020,3,March,25,3,Wednesday,13,1,Spring,0,0,,0,0,0,0,0,0,0,0,2020,1,3
2020-03-26,2020,3,March,26,4,Thursday,13,1,Spring,0,0,,0,0,0,0,0,0,0,0,2020,1,3
2020-03-27,2020,3,March,27,5,Friday,13,1,Spring,0,0,,0,0,0,0,0,0,0,0,2020,1,3
2020-03-28,2020,3,March,28,6,Saturday,13,1,Spring,1,0,,0,0,0,0,0,0,0,0,2020,1,3
2020-03-29,2020,3,March,29,7,Sunday,13,1,Spring,1,0,,0,0,0,0,0,0,0,0,2020,1,3
2020-03-30,2020,3,March,30,1,Monday,14,1,Spring,0,0,,0,0,0,0,0,0,0,0,2020,1,3
2020-03-31,2020,3,March,31,2,Tuesday,14,1,Spring,0,0,,0,0,0,0,0,0,0,0,2020,1,3
2020-04-01,2020,4,April,1,3,Wednesday,14,2,Spring,0,0,,0,0,0,0,0,0,0,0,2020,2,4
2020-04-02,2020,4,April,2,4,Thursday,14,2,Spring,0,0,,0,0,0,0,0,0,0,0,2020,2,4
2020-04-03,2020,4,April,3,5,Friday,14,2,Spring,0,0,,0,0,0,0,0,0,0,0,2020,2,4
2020-04-04,2020,4,April,4,6,Saturday,14,2,Spring,1,0,,0,0,0,0,0,0,0,0,2020,2,4
2020-04-05,2020,4,April,5,7,Sunday,14,2,Spring,1,0,,0,0,0,0,0,0,0,0,2020,2,4
2020-04-06,2020,4,April,6,1,Monday,15,2,Spring,0,0,,0,0,0,0,0,0,0,0,2020,2,4
2020-04-07,2020,4,April,7,2,Tuesday,15,2,Spring,0,0,,0,0,0,0,0,0,0,0,2020,2,4
2020-04-08,2020,4,April,8,3,Wednesday,15,2,Spring,0,0,,0,0,0,0,0,0,0,0,2020,2,4
2020-04-09,2020,4,April,9,4,Thursday,15,2,Spring,0,0,,0,0,0,0,0,0,0,0,2020,2,4
2020-04-10,2020,4,April,10,5,Friday,15,2,Spring,0,0,,0,0,0,0,0,0,0,0,2020,2,4
2020-04-11,2020,4,April,11,6,Saturday,15,2,Spring,1,0,,0,0,0,0,0,0,0,0,2020,2,4
2020-04-12,2020,4,April,12,7,Sunday,15,2,Spring,1,0,,0,0,0,0,0,0,0,0,2020,2,4
2020-04-13,2020,4,April,13,1,Monday,16,2,Spring,0,0,,0,0,0,0,0,0,0,0,2020,2,4
2020-04-14,2020,4,April,14,2,Tuesday,16,2,Spring,0,0,,0,0,0,0,0,0,0,0,2020,2,4
2020-04-15,2020,4,April,15,3,Wednesday,16,2,Spring,0,0,,0,0,0,0,0,0,0,0,2020,2,4
2020-04-16,2020,4,April,16,4,Thursday,16,2,Spring,0,0,,0,0,0,0,0,0,0,0,2020,2,4
2020-04-17,2020,4,April,17,5,Friday,16,2,Spring,0,0,,0,0,0,0,0,0,0,0,2020,2,4
2020-04-18,2020,4,April,18,6,Saturday,16,2,Spring,1,0,,0,0,0,0,0,0,0,0,2020,2,4
2020-04-19,2020,4,April,19,7,Sunday,16,2,Spring,1,0,,0,0,0,0,0,0,0,0,2020,2,4
2020-04-20,2020,4,April,20,1,Monday,17,2,Spring,0,0,,0,0,0,0,0,0,0,0,2020,2,4
2020-04-21,2020,4,April,21,2,Tuesday,17,2,Spring,0,0,,0,0,0,0,0,0,0,0,2020,2,4
2020-04-22,2020,4,April,22,3,Wednesday,17,2,Spring,0,0,,0,0,0,0,0,0,0,0,2020,2,4
2020-04-23,2020,4,April,23,4,Thursday,17,2,Spring,0,0,,0,0,0,0,0,0,0,0,2020,2,4
2020-04-24,2020,4,April,24,5,Friday,17,2,Spring,0,0,,0,0,0,0,0,0,0,0,2020,2,4
2020-04-25,2020,4,April,25,6,Saturday,17,2,Spring,1,0,,0,0,0,0,0,0,0,0,2020,2,4
2020-04-26,2020,4,April,26,7,Sunday,17,2,Spring,1,0,,0,0,0,0,0,0,0,0,2020,2,4
2020-04-27,2020,4,April,27,1,Monday,18,2,Spring,0,0,,0,0,0,0,0,0,0,0,2020,2,4
2020-04-28,2020,4,April,28,2,Tuesday,18,2,Spring,0,0,,0,0,0,0,0,0,0,0,2020,2,4
2020-04-29,2020,4,April,29,3,Wednesday,18,2,Spring,0,0,,0,0,0,0,0,0,0,0,2020,2,4
2020-04-30,2020,4,April,30,4,Thursday,18,2,Spring,0,0,,0,0,0,0,0,0,0,0,2020,2,4
2020-05-01,2020,5,May,1,5,Friday,18,2,Spring,0,0,,0,0,0,0,0,0,0,0,2020,2,5
2020-05-02,2020,5,May,2,6,Saturday,18,2,Spring,1,0,,0,0,0,0,0,0,0,0,2020,2,5
2020-05-03,2020,5,May,3,7,Sunday,18,2,Spring,1,0,,0,0,0,0,0,0,0,0,2020,2,5
2020-05-04,2020,5,May,4,1,Monday,19,2,Spring,0,0,,0,0,0,0,0,0,0,0,2020,2,5
2020-05-05,2020,5,May,5,2,Tuesday,19,2,Spring,0,0,,0,0,0,0,0,0,0,0,2020,2,5
2020-05-06,2020,5,May,6,3,Wednesday,19,2,Spring,0,0,,0,0,0,0,0,0,0,0,2020,2,5
2020-05-07,2020,5,May,7,4,Thursday,19,2,Spring,0,0,,0,0,0,0,0,0,0,0,2020,2,5
2020-05-08,2020,5,May,8,5,Friday,19,2,Spring,0,0,,0,0,0,0,0,0,0,0,2020,2,5
2020-05-09,2020,5,May,9,6,Saturday,19,2,Spring,1,0,,0,0,0,0,0,0,0,0,2020,2,5
2020-05-10,2020,5,May,10,7,Sunday,19,2,Spring,1,0,,0,0,0,0,0,0,0,0,2020,2,5
2020-05-11,2020,5,May,11,1,Monday,20,2,Spring,0,0,,0,0,0,0,0,0,0,0,2020,2,5
2020-05-12,2020,5,May,12,2,Tuesday,20,2,Spring,0,0,,0,0,0,0,0,0,0,0,2020,2,5
2020-05-13,2020,5,May,13,3,Wednesday,20,2,Spring,0,0,,0,0,0,0,0,0,0,0,2020,2,5
2020-05-14,2020,5,May,14,4,Thursday,20,2,Spring,0,0,,0,0,0,0,0,0,0,0,2020,2,5
2020-05-15,2020,5,May,15,5,Friday,20,2,Spring,0,0,,0,0,0,0,0,0,0,0,2020,2,5
2020-05-16,2020,5,May,16,6,Saturday,20,2,Spring,1,0,,0,0,0,0,0,0,0,0,2020,2,5
2020-05-17,2020,5,May,17,7,Sunday,20,2,Spring,1,0,,0,0,0,0,0,0,0,0,2020,2,5
2020-05-18,2020,5,May,18,1,Monday,21,2,Spring,0,0,,0,0,0,0,0,0,0,0,2020,2,5
2020-05-19,2020,5,May,19,2,Tuesday,21,2,Spring,0,0,,0,0,0,0,0,0,0,0,2020,2,5
2020-05-20,2020,5,May,20,3,Wednesday,21,2,Spring,0,0,,0,0,0,0,0,0,0,0,2020,2,5
2020-05-21,2020,5,May,21,4,Thursday,21,2,Spring,0,0,,0,0,0,0,0,0,0,0,2020,2,5
2020-05-22,2020,5,May,22,5,Friday,21,2,Spring,0,0,,0,0,0,0,0,0,0,0,2020,2,5
2020-05-23,2020,5,May,23,6,Saturday,21,2,Spring,1,0,,0,0,0,0,0,0,1,0,2020,2,5
2020-05-24,2020,5,May,24,7,Sunday,21,2,Spring,1,0,,0,0,0,0,0,0,1,0,2020,2,5
2020-05-25,2020,5,May,25,1,Monday,22,2,Spring,0,1,Memorial Day,0,0,0,0,0,0,1,0,2020,2,5
2020-05-26,2020,5,May,26,2,Tuesday,22,2,Spring,0,0,,0,0,0,0,0,0,0,0,2020,2,5
2020-05-27,2020,5,May,27,3,Wednesday,22,2,Spring,0,0,,0,0,0,0,0,0,0,0,2020,2,5
2020-05-28,2020,5,May,28,4,Thursday,22,2,Spring,0,0,,0,0,0,0,0,0,0,0,2020,2,5
2020-05-29,2020,5,May,29,5,Friday,22,2,Spring,0,0,,0,0,0,0,0,0,0,0,2020,2,5
2020-05-30,2020,5,May,30,6,Saturday,22,2,Spring,1,0,,0,0,0,0,0,0,0,0,2020,2,5
2020-05-31,2020,5,May,31,7,Sunday,22,2,Spring,1,0,,0,0,0,0,0,0,0,0,2020,2,5
2020-06-01,2020,6,June,1,1,Monday,23,2,Summer,0,0,,0,0,0,0,0,0,0,0,2020,2,6
2020-06-02,2020,6,June,2,2,Tuesday,23,2,Summer,0,0,,0,0,0,0,0,0,0,0,2020,2,6
2020-06-03,2020,6,June,3,3,Wednesday,23,2,Summer,0,0,,0,0,0,0,0,0,0,0,2020,2,6
2020-06-04,2020,6,June,4,4,Thursday,23,2,Summer,0,0,,0,0,0,0,0,0,0,0,2020,2,6
2020-06-05,2020,6,June,5,5,Friday,23,2,Summer,0,0,,0,0,0,0,0,0,0,0,2020,2,6
2020-06-06,2020,6,June,6,6,Saturday,23,2,Summer,1,0,,0,0,0,0,0,0,0,0,2020,2,6
2020-06-07,2020,6,June,7,7,Sunday,23,2,Summer,1,0,,0,0,0,0,0,0,0,0,2020,2,6
2020-06-08,2020,6,June,8,1,Monday,24,2,Summer,0,0,,0,0,0,0,0,0,0,0,2020,2,6
2020-06-09,2020,6,June,9,2,Tuesday,24,2,Summer,0,0,,0,0,0,0,0,0,0,0,2020,2,6
2020-06-10,2020,6,June,10,3,Wednesday,24,2,Summer,0,0,,0,0,0,0,0,0,0,0,2020,2,6
2020-06-11,2020,6,June,11,4,Thursday,24,2,Summer,0,0,,0,0,0,0,0,0,0,0,2020,2,6
2020-06-12,2020,6,June,12,5,Friday,24,2,Summer,0,0,,0,0,0,0,0,0,0,0,2020,2,6
2020-06-13,2020,6,June,13,6,Saturday,24,2,Summer,1,0,,0,0,0,0,0,0,0,0,2020,2,6
2020-06-14,2020,6,June,14,7,Sunday,24,2,Summer,1,0,,0,0,0,0,0,0,0,0,2020,2,6
2020-06-15,2020,6,June,15,1,Monday,25,2,Summer,0,0,,0,0,0,0,0,0,0,0,2020,2,6
2020-06-16,2020,6,June,16,2,Tuesday,25,2,Summer,0,0,,0,0,0,0,0,0,0,0,2020,2,6
2020-06-17,2020,6,June,17,3,Wednesday,25,2,Summer,0,0,,0,0,0,0,0,0,0,0,2020,2,6
2020-06-18,2020,6,June,18,4,Thursday,25,2,Summer,0,0,,0,0,0,0,0,0,0,0,2020,2,6
2020-06-19,2020,6,June,19,5,Friday,25,2,Summer,0,0,,0,0,0,0,0,0,0,0,2020,2,6
2020-06-20,2020,6,June,20,6,Saturday,25,2,Summer,1,0,,0,0,0,0,0,0,0,0,2020,2,6
2020-06-21,2020,6,June,21,7,Sunday,25,2,Summer,1,0,,0,0,0,0,0,0,0,0,2020,2,6
2020-06-22,2020,6,June,22,1,Monday,26,2,Summer,0,0,,0,0,0,0,0,0,0,0,2020,2,6
2020-06-23,2020,6,June,23,2,Tuesday,26,2,Summer,0,0,,0,0,0,0,0,0,0,0,2020,2,6
2020-06-24,2020,6,June,24,3,Wednesday,26,2,Summer,0,0,,0,0,0,0,0,0,0,0,2020,2,6
2020-06-25,2020,6,June,25,4,Thursday,26,2,Summer,0,0,,0,0,0,0,0,0,0,0,2020,2,6
2020-06-26,2020,6,June,26,5,Friday,26,2,Summer,0,0,,0,0,0,0,0,0,0,0,2020,2,6
2020-06-27,2020,6,June,27,6,Saturday,26,2,Summer,1,0,,0,0,0,0,0,0,0,0,2020,2,6
2020-06-28,2020,6,June,28,7,Sunday,26,2,Summer,1,0,,0,0,0,0,0,0,0,0,2020,2,6
2020-06-29,2020,6,June,29,1,Monday,27,2,Summer,0,0,,0,0,0,0,0,0,0,0,2020,2,6
2020-06-30,2020,6,June,30,2,Tuesday,27,2,Summer,0,0,,0,0,0,0,0,0,0,0,2020,2,6
2020-07-01,2020,7,July,1,3,Wednesday,27,3,Summer,0,0,,0,0,0,0,0,0,0,0,2020,3,7
2020-07-02,2020,7,July,2,4,Thursday,27,3,Summer,0,0,,0,0,0,0,0,0,0,0,2020,3,7
2020-07-03,2020,7,July,3,5,Friday,27,3,Summer,0,0,,0,0,0,0,0,0,0,0,2020,3,7
2020-07-04,2020,7,July,4,6,Saturday,27,3,Summer,1,1,Independence Day,0,0,0,0,0,0,0,0,2020,3,7
2020-07-05,2020,7,July,5,7,Sunday,27,3,Summer,1,0,,0,0,0,0,0,0,0,0,2020,3,7
2020-07-06,2020,7,July,6,1,Monday,28,3,Summer,0,0,,0,0,0,0,0,0,0,0,2020,3,7
2020-07-07,2020,7,July,7,2,Tuesday,28,3,Summer,0,0,,0,0,0,0,0,0,0,0,2020,3,7
2020-07-08,2020,7,July,8,3,Wednesday,28,3,Summer,0,0,,0,0,0,0,0,0,0,0,2020,3,7
2020-07-09,2020,7,July,9,4,Thursday,28,3,Summer,0,0,,0,0,0,0,0,0,0,0,2020,3,7
2020-07-10,2020,7,July,10,5,Friday,28,3,Summer,0,0,,0,0,0,0,0,0,0,0,2020,3,7
2020-07-11,2020,7,July,11,6,Saturday,28,3,Summer,1,0,,0,0,0,0,0,0,0,0,2020,3,7
2020-07-12,2020,7,July,12,7,Sunday,28,3,Summer,1,0,,0,0,0,0,0,0,0,0,2020,3,7
2020-07-13,2020,7,July,13,1,Monday,29,3,Summer,0,0,,0,0,0,0,0,0,0,0,2020,3,7
2020-07-14,2020,7,July,14,2,Tuesday,29,3,Summer,0,0,,0,0,0,0,0,0,0,0,2020,3,7
2020-07-15,2020,7,July,15,3,Wednesday,29,3,Summer,0,0,,0,0,0,0,0,0,0,0,2020,3,7
2020-07-16,2020,7,July,16,4,Thursday,29,3,Summer,0,0,,0,0,0,0,0,0,0,0,2020,3,7
2020-07-17,2020,7,July,17,5,Friday,29,3,Summer,0,0,,0,0,0,0,0,0,0,0,2020,3,7
2020-07-18,2020,7,July,18,6,Saturday,29,3,Summer,1,0,,0,0,0,0,0,0,0,0,2020,3,7
2020-07-19,2020,7,July,19,7,Sunday,29,3,Summer,1,0,,0,0,0,0,0,0,0,0,2020,3,7
2020-07-20,2020,7,July,20,1,Monday,30,3,Summer,0,0,,0,0,0,0,0,0,0,0,2020,3,7
2020-07-21,2020,7,July,21,2,Tuesday,30,3,Summer,0,0,,0,0,0,0,0,0,0,0,2020,3,7
2020-07-22,2020,7,July,22,3,Wednesday,30,3,Summer,0,0,,0,0,0,0,0,0,0,0,2020,3,7
2020-07-23,2020,7,July,23,4,Thursday,30,3,Summer,0,0,,0,0,0,0,0,0,0,0,2020,3,7
2020-07-24,2020,7,July,24,5,Friday,30,3,Summer,0,0,,0,0,0,0,0,0,0,0,2020,3,7
2020-07-25,2020,7,July,25,6,Saturday,30,3,Summer,1,0,,0,0,0,0,0,0,0,0,2020,3,7
2020-07-26,2020,7,July,26,7,Sunday,30,3,Summer,1,0,,0,0,0,0,0,0,0,0,2020,3,7
2020-07-27,2020,7,July,27,1,Monday,31,3,Summer,0,0,,0,0,0,0,0,0,0,0,2020,3,7
2020-07-28,2020,7,July,28,2,Tuesday,31,3,Summer,0,0,,0,0,0,0,0,0,0,0,2020,3,7
2020-07-29,2020,7,July,29,3,Wednesday,31,3,Summer,0,0,,0,0,0,0,0,0,0,0,2020,3,7
2020-07-30,2020,7,July,30,4,Thursday,31,3,Summer,0,0,,0,0,0,0,0,0,0,0,2020,3,7
2020-07-31,2020,7,July,31,5,Friday,31,3,Summer,0,0,,0,0,0,0,0,0,0,0,2020,3,7
2020-08-01,2020,8,August,1,6,Saturday,31,3,Summer,1,0,,0,0,0,0,0,0,0,0,2020,3,8
2020-08-02,2020,8,August,2,7,Sunday,31,3,Summer,1,0,,0,0,0,0,0,0,0,0,2020,3,8
2020-08-03,2020,8,August,3,1,Monday,32,3,Summer,0,0,,0,0,0,0,0,0,0,0,2020,3,8
2020-08-04,2020,8,August,4,2,Tuesday,32,3,Summer,0,0,,0,0,0,0,0,0,0,0,2020,3,8
2020-08-05,2020,8,August,5,3,Wednesday,32,3,Summer,0,0,,0,0,0,0,0,0,0,0,2020,3,8
2020-08-06,2020,8,August,6,4,Thursday,32,3,Summer,0,0,,0,0,0,0,0,0,0,0,2020,3,8
2020-08-07,2020,8,August,7,5,Friday,32,3,Summer,0,0,,0,0,0,0,0,0,0,0,2020,3,8
2020-08-08,2020,8,August,8,6,Saturday,32,3,Summer,1,0,,0,0,0,0,0,0,0,0,2020,3,8
2020-08-09,2020,8,August,9,7,Sunday,32,3,Summer,1,0,,0,0,0,0,0,0,0,0,2020,3,8
2020-08-10,2020,8,August,10,1,Monday,33,3,Summer,0,0,,0,0,0,0,0,0,0,0,2020,3,8
2020-08-11,2020,8,August,11,2,Tuesday,33,3,Summer,0,0,,0,0,0,0,0,0,0,0,2020,3,8
2020-08-12,2020,8,August,12,3,Wednesday,33,3,Summer,0,0,,0,0,0,0,0,0,0,0,2020,3,8
2020-08-13,2020,8,August,13,4,Thursday,33,3,Summer,0,0,,0,0,0,0,0,0,0,0,2020,3,8
2020-08-14,2020,8,August,14,5,Friday,33,3,Summer,0,0,,0,0,0,0,0,0,0,0,2020,3,8
2020-08-15,2020,8,August,15,6,Saturday,33,3,Summer,1,0,,0,0,0,0,0,0,0,0,2020,3,8
2020-08-16,2020,8,August,16,7,Sunday,33,3,Summer,1,0,,0,0,0,0,0,0,0,0,2020,3,8
2020-08-17,2020,8,August,17,1,Monday,34,3,Summer,0,0,,0,0,0,0,0,0,0,0,2020,3,8
2020-08-18,2020,8,August,18,2,Tuesday,34,3,Summer,0,0,,0,0,0,0,0,0,0,0,2020,3,8
