product_id,category,subcategory,unit_cost,list_price
P00206,Grocery,Beverages,222.03,296.62
P00207,Office,Supplies,699.43,1495.74
P00208,Home,Storage,758.58,1400.44
P00209,Electronics,Gaming,607.95,1351.68
P00210,Home,Storage,689.74,1293.46
P00211,Grocery,Snacks,18.23,32.77
P00212,Clothing,Kids,539.82,1277.2
P00213,Clothing,Men,79.87,211.09
P00214,Home,Furniture,502.89,940.28
P00215,Beauty,Fragrance,612.87,767.38
P00216,Home,Kitchen,982.21,1412.51
P00217,Office,Accessories,359.79,540.64
P00218,Home,Kitchen,508.53,683.92
P00219,Beauty,Makeup,631.4,1037.34
P00220,Sports,Team Sports,797.48,1109.75
P00221,Beauty,Haircare,203.58,317.73
P00222,Grocery,Beverages,112.33,308.67
P00223,Electronics,Audio,168.53,386.48
P00224,Toys,Collectibles,498.06,1148.18
P00225,Beauty,Makeup,552.14,694.01
P00226,Sports,Fitness,888.63,1419.83
P00227,Beauty,Personal Care,176.8,237.03
P00228,Office,Furniture,737.39,1255.16
P00229,Clothing,Women,886.98,1483.39
P00230,Toys,Collectibles,27.7,44.81
P00231,Beauty,Haircare,60.31,93.19
P00232,Home,Kitchen,554.19,707.81
P00233,Sports,Fitness,826.66,1493.76
P00234,Toys,Kids Toys,783.09,1421.36
P00235,Grocery,Fresh,625.99,1157.73
P00236,Electronics,Phones,969.65,1406.66
P00237,Beauty,Skincare,211.85,473.43
P00238,Office,Supplies,688.92,1125.16
P00239,Beauty,Personal Care,591.17,880.96
P00240,Clothing,Women,263.93,407.77
P00241,Beauty,Skincare,51.18,68.02
P00242,Office,Supplies,290.81,815.51
P00243,Office,Accessories,718.29,956.9
P00244,Office,Accessories,242.52,336.49
P00245,Electronics,Computers,83.49,202.32
P00246,Beauty,Haircare,508.26,1063.35
P00247,Baby,Clothing,38.09,80.9
P00248,Baby,Clothing,238.84,669.17
P00249,Electronics,Phones,927.39,1295.45
P00250,Office,Accessories,403.46,545.88
P00251,Office,Supplies,508.05,867.84
P00252,Baby,Diapers,1001.84,1446.7
P00253,Grocery,Pantry,370.06,632.62
P00254,Baby,Diapers,534.0,749.94
P00255,Sports,Outdoor,758.11,1114.46
P00256,Beauty,Fragrance,248.83,359.64
P00257,Electronics,Gaming,503.17,932.32
P00258,Beauty,Haircare,650.11,1044.34
P00259,Home,Storage,568.7,1100.83
P00260,Grocery,Pantry,310.15,709.8
P00261,Office,Electronics,877.97,1422.71
P00262,Sports,Outdoor,602.05,957.47
P00263,Beauty,Fragrance,369.48,899.86
P00264,Home,Bath,294.09,713.11
P00265,Toys,Board Games,408.49,564.06
P00266,Home,Decor,352.2,768.21
P00267,Grocery,Pantry,73.21,112.13
P00268,Beauty,Skincare,454.25,1146.86
P00269,Beauty,Personal Care,235.53,344.75
P00270,Clothing,Kids,12.16,27.83
P00271,Office,Supplies,300.5,743.34
P00272,Sports,Fitness,426.39,756.81
P00273,Beauty,Haircare,686.19,924.1
P00274,Sports,Outdoor,606.65,1373.76
P00275,Baby,Feeding,688.99,1333.05
P00276,Baby,Feeding,260.91,340.0
P00277,Office,Supplies,608.33,1400.28
P00278,Baby,Gear,423.87,995.69
P00279,Office,Supplies,230.73,427.67
P00280,Clothing,Kids,417.57,757.32
P00281,Office,Accessories,788.21,1440.36
P00282,Sports,Outdoor,208.91,488.16
P00283,Baby,Diapers,691.38,1190.35
P00284,Clothing,Shoes,223.32,323.9
P00285,Toys,Collectibles,849.81,1251.63
P00286,Home,Storage,520.07,1069.28
P00287,Home,Bath,538.14,1038.12
P00288,Baby,Clothing,7.22,14.88
P00289,Electronics,Gaming,469.48,658.0
P00290,Beauty,Personal Care,358.36,956.42
P00291,Beauty,Makeup,21.64,57.1
P00292,Sports,Fitness,417.44,910.4
P00293,Grocery,Beverages,450.61,577.17
P00294,Office,Accessories,223.64,385.1
P00295,Sports,Fitness,281.83,641.38
P00296,Sports,Fitness,50.81,116.65
P00297,Office,Furniture,385.68,819.98
P00298,Sports,Team Sports,626.61,824.25
P00299,Electronics,Phones,163.2,215.63
P00300,Office,Electronics,759.81,1252.92
P00301,Clothing,Kids,651.74,1460.31
P00302,Office,Electronics,324.09,742.82
P00303,Home,Bedding,543.82,739.82
P00304,Sports,Fitness,32.12,42.87
P00305,Sports,Team Sports,740.1,1081.11
P00306,Clothing,Athleisure,697.19,1066.69
P00307,Grocery,Snacks,199.88,335.97
P00308,Home,Kitchen,647.96,1288.77
P00309,Home,Storage,171.63,489.92
P00310,Sports,Outdoor,768.99,1491.83
P00311,Toys,STEM Toys,900.56,1346.25
P00312,Home,Kitchen,174.66,251.87
P00313,Sports,Fitness,606.14,810.93
P00314,Clothing,Shoes,336.22,911.43
P00315,Grocery,Snacks,329.83,452.8
P00316,Baby,Gear,376.77,524.07
P00317,Sports,Fitness,438.84,802.8
P00318,Beauty,Personal Care,503.74,1193.55
P00319,Clothing,Athleisure,423.15,951.12
P00320,Toys,Board Games,797.55,1051.89
P00321,Grocery,Frozen,314.23,619.64
P00322,Baby,Feeding,107.12,291.06
P00323,Office,Electronics,216.97,384.7
P00324,Grocery,Frozen,125.92,295.49
P00325,Sports,Outdoor,798.52,1156.56
P00326,Clothing,Men,486.73,635.77
P00327,Clothing,Women,6.44,14.34
P00328,Grocery,Beverages,795.93,1309.22
P00329,Office,Supplies,416.04,1163.02
P00330,Office,Electronics,363.96,983.3
P00331,Toys,Board Games,183.55,246.48
P00332,Electronics,Smart Home,535.48,797.23
P00333,Home,Storage,582.96,937.08
P00334,Beauty,Makeup,519.09,1043.59
P00335,Grocery,Beverages,727.46,1288.48
P00336,Grocery,Snacks,219.48,558.64
P00337,Grocery,Snacks,184.12,354.49
P00338,Toys,Collectibles,223.17,355.37
P00339,Clothing,Shoes,171.26,476.17
P00340,Baby,Gear,471.41,780.19
P00341,Baby,Feeding,593.37,1024.28
P00342,Baby,Feeding,401.99,1110.99
P00343,Grocery,Pantry,688.99,965.89
P00344,Sports,Outdoor,267.31,379.64
P00345,Electronics,Smart Home,189.11,328.44
P00346,Baby,Feeding,265.66,341.84
P00347,Office,Furniture,56.55,118.62
P00348,Toys,STEM Toys,151.12,297.1
P00349,Sports,Fitness,314.96,484.05
P00350,Sports,Outdoor,190.24,284.13
P00351,Home,Kitchen,745.43,1065.03
P00352,Office,Furniture,345.93,459.76
P00353,Beauty,Fragrance,468.93,1336.31
P00354,Sports,Cycling,291.86,678.45
P00355,Grocery,Snacks,306.3,667.66
P00356,Office,Supplies,437.75,1078.12
P00357,Grocery,Fresh,266.94,680.9
P00358,Office,Electronics,963.55,1284.44
P00359,Clothing,Athleisure,539.35,1446.91
P00360,Clothing,Men,653.57,1221.15
P00361,Electronics,Phones,298.53,395.71
P00362,Home,Furniture,396.07,809.47
P00363,Beauty,Skincare,889.79,1201.22
P00364,Office,Electronics,171.45,423.9
P00365,Toys,Kids Toys,637.52,951.46
P00366,Clothing,Shoes,149.39,276.1
P00367,Baby,Diapers,283.02,496.83
P00368,Office,Accessories,702.12,1112.12
P00369,Sports,Cycling,138.16,378.42
P00370,Grocery,Snacks,536.01,1418.29
P00371,Clothing,Men,203.43,291.69
P00372,Electronics,Computers,53.76,140.09
P00373,Sports,Fitness,289.56,679.44
P00374,Toys,Kids Toys,151.24,360.99
P00375,Grocery,Frozen,392.51,678.28
P00376,Toys,Board Games,19.92,34.95
P00377,Baby,Feeding,422.41,646.66
P00378,Toys,STEM Toys,727.23,1093.49
P00379,Toys,Kids Toys,183.16,499.16
P00380,Baby,Clothing,338.69,504.42
P00381,Electronics,Gaming,429.24,604.93
P00382,Toys,STEM Toys,758.7,1143.64
P00383,Home,Storage,657.27,827.22
P00384,Beauty,Personal Care,1127.39,1458.52
P00385,Sports,Fitness,154.47,305.59
P00386,Office,Accessories,731.32,1158.18
P00387,Home,Decor,924.53,1282.25
P00388,Toys,Board Games,28.19,42.17
P00389,Baby,Clothing,91.38,118.97
P00390,Electronics,Smart Home,424.54,1074.41
P00391,Office,Electronics,469.13,912.63
P00392,Home,Decor,683.91,1065.96
P00393,Sports,Team Sports,257.22,356.18
P00394,Baby,Gear,822.61,1416.69
P00395,Office,Supplies,735.93,1009.23
P00396,Toys,Collectibles,95.46,164.72
P00397,Home,Furniture,302.1,597.1
P00398,Electronics,Phones,623.99,1205.22
P00399,Clothing,Athleisure,190.55,313.31
P00400,Electronics,Phones,230.07,616.2
P00401,Baby,Gear,55.37,98.26
P00402,Electronics,Computers,197.0,350.54
P00403,Grocery,Snacks,1003.14,1366.95
P00404,Clothing,Kids,858.6,1480.57
P00405,Electronics,Phones,312.8,778.24
P00406,Home,Bath,553.78,974.56
P00407,Clothing,Shoes,58.49,128.11
P00408,Beauty,Haircare,536.09,912.89
P00409,Clothing,Shoes,644.28,1273.2
P00410,Toys,Collectibles,522.94,754.67
P00411,Home,Kitchen,475.98,770.91
P00412,Grocery,Frozen,695.01,1334.49
P00413,Sports,Team Sports,25.6,71.97
P00414,Sports,Fitness,476.82,967.38
P00415,Sports,Outdoor,593.65,1172.78
P00416,Toys,Board Games,24.72,42.09
P00417,Baby,Clothing,446.32,791.85
P00418,Toys,Collectibles,645.27,999.74
P00419,Beauty,Fragrance,522.36,932.41
P00420,Toys,Kids Toys,920.01,1222.34
P00421,Baby,Diapers,366.89,651.74
P00422,Clothing,Shoes,271.29,426.15
P00423,Toys,Collectibles,943.73,1182.18
P00424,Beauty,Fragrance,264.54,444.34
P00425,Clothing,Women,376.85,495.99
P00426,Electronics,Audio,145.64,332.62
P00427,Home,Storage,158.74,398.63
P00428,Office,Accessories,603.48,1207.49
P00429,Toys,Kids Toys,512.05,1129.27
P00430,Office,Electronics,190.81,507.74
P00431,Beauty,Fragrance,934.42,1362.04
P00432,Electronics,Computers,437.15,871.55
P00433,Baby,Gear,521.34,1193.61
P00434,Electronics,TV & Video,59.06,166.78
P00435,Home,Bedding,385.17,514.58
P00436,Beauty,Makeup,791.74,1101.09
P00437,Toys,Board Games,122.52,279.58
P00438,Baby,Diapers,32.12,51.67
P00439,Baby,Feeding,548.72,795.02
P00440,Baby,Feeding,543.07,794.01
P00441,Grocery,Pantry,281.1,705.21
P00442,Toys,Kids Toys,88.01,146.82
P00443,Home,Bath,562.1,1115.09
P00444,Toys,Kids Toys,1103.95,1402.89
P00445,Clothing,Shoes,764.53,1116.27
P00446,Clothing,Shoes,605.72,965.7
P00447,Electronics,Computers,504.98,679.5
P00448,Sports,Cycling,611.06,1497.97
P00449,Office,Electronics,208.44,424.32
P00450,Home,Furniture,40.58,91.21
P00451,Grocery,Snacks,308.87,433.67
P00452,Beauty,Skincare,558.83,819.91
P00453,Baby,Gear,11.38,16.4
P00454,Baby,Diapers,118.78,190.4
P00455,Clothing,Shoes,63.7,118.13
P00456,Baby,Clothing,11.15,25.06
P00457,Home,Bath,28.77,60.44
P00458,Beauty,Makeup,206.25,387.38
P00459,Electronics,TV & Video,779.59,1100.9
P00460,Clothing,Shoes,270.81,661.29
P00461,Beauty,Makeup,542.27,910.83
P00462,Sports,Cycling,660.0,927.37
P00463,Home,Bedding,396.15,894.23
P00464,Baby,Feeding,662.32,1008.9
P00465,Electronics,Smart Home,712.01,1315.21
P00466,Office,Accessories,228.94,428.61
P00467,Beauty,Personal Care,85.18,168.98
P00468,Toys,Board Games,698.56,1462.36
P00469,Office,Furniture,215.24,364.87
P00470,Baby,Diapers,390.34,830.79
P00471,Baby,Gear,990.11,1319.98
P00472,Baby,Diapers,399.92,1038.22
P00473,Beauty,Personal Care,85.7,158.37
P00474,Grocery,Frozen,851.63,1136.07
P00475,Clothing,Men,407.66,1100.6
P00476,Baby,Clothing,727.01,938.73
P00477,Baby,Feeding,644.15,961.38
P00478,Baby,Clothing,281.75,511.44
P00479,Beauty,Personal Care,281.95,353.5
P00480,Home,Bedding,563.45,1173.95
P00481,Clothing,Athleisure,623.24,1180.06
P00482,Beauty,Skincare,493.73,943.6
P00483,Toys,Board Games,337.89,729.66
P00484,Baby,Feeding,241.77,564.52
P00485,Beauty,Haircare,369.37,635.8
P00486,Home,Bedding,181.18,338.11
P00487,Clothing,Athleisure,586.67,1007.44
P00488,Sports,Team Sports,720.04,988.75
P00489,Clothing,Shoes,346.97,925.31
P00490,Office,Furniture,214.66,326.11
P00491,Office,Accessories,633.21,926.51
P00492,Office,Accessories,78.83,184.97
P00493,Beauty,Skincare,249.57,542.59
P00494,Clothing,Kids,504.23,808.94
P00495,Grocery,Snacks,36.83,89.04
P00496,Beauty,Personal Care,312.3,872.6
P00497,Sports,Cycling,435.51,1124.79
P00498,Baby,Feeding,1068.74,1438.83
P00499,Home,Furniture,315.01,443.13
P00500,Sports,Fitness,373.43,1066.79
P00501,Beauty,Makeup,885.54,1210.07
P00502,Grocery,Snacks,505.68,957.14
P00503,Beauty,Makeup,247.21,650.42
P00504,Baby,Clothing,44.62,103.99
P00505,Baby,Gear,638.31,922.54
P00506,Home,Kitchen,633.62,884.05
P00507,Toys,Board Games,631.25,954.07
P00508,Home,Bath,118.84,214.06
P00509,Office,Electronics,66.04,148.87
P00510,Clothing,Kids,320.63,869.6
P00511,Electronics,Smart Home,204.08,486.26
P00512,Home,Decor,852.43,1468.92
P00513,Electronics,Computers,1098.69,1486.72
P00514,Toys,Collectibles,96.9,146.13
P00515,Toys,STEM Toys,995.17,1405.14
P00516,Home,Bath,910.48,1177.49
P00517,Toys,Collectibles,404.48,625.44
P00518,Electronics,Phones,759.21,1411.35
P00519,Toys,Board Games,585.86,829.24
P00520,Sports,Cycling,726.2,1137.58
P00521,Clothing,Shoes,629.53,829.21
P00522,Toys,STEM Toys,39.29,98.11
P00523,Beauty,Haircare,299.65,493.8
P00524,Beauty,Fragrance,317.23,434.81
P00525,Baby,Diapers,215.22,416.57
P00526,Electronics,Smart Home,55.47,80.72
P00527,Grocery,Frozen,102.05,291.35
P00528,Electronics,Audio,556.2,776.63
P00529,Sports,Cycling,105.07,133.3
P00530,Home,Decor,680.68,1426.1
P00531,Grocery,Fresh,161.22,238.57
P00532,Home,Bedding,971.56,1402.1
P00533,Grocery,Pantry,51.68,98.22
P00534,Clothing,Shoes,158.88,315.45
P00535,Clothing,Women,902.72,1395.17
P00536,Electronics,Gaming,51.78,82.22
P00537,Toys,Board Games,322.94,686.91
P00538,Grocery,Pantry,89.77,196.9
P00539,Beauty,Skincare,344.77,777.02
P00540,Clothing,Women,312.26,481.99
P00541,Grocery,Pantry,579.26,877.38
P00542,Office,Supplies,37.13,54.58
P00543,Toys,STEM Toys,115.52,166.62
P00544,Clothing,Women,89.44,193.19
P00545,Beauty,Skincare,127.0,211.84
P00546,Clothing,Men,552.18,841.6
P00547,Grocery,Frozen,89.1,126.87
P00548,Office,Supplies,129.43,172.18
P00549,Sports,Fitness,60.72,141.53
P00550,Clothing,Kids,455.11,599.63
P00551,Electronics,Gaming,710.84,1107.87
P00552,Office,Supplies,76.33,170.89
P00553,Home,Furniture,833.13,1353.86
P00554,Home,Decor,506.93,893.26
P00555,Clothing,Athleisure,206.91,395.37
P00556,Electronics,Smart Home,48.37,81.08
P00557,Grocery,Fresh,74.08,119.07
P00558,Toys,STEM Toys,226.55,329.15
P00559,Home,Bath,922.78,1434.25
P00560,Clothing,Shoes,435.66,984.43
P00561,Clothing,Kids,907.04,1413.81
P00562,Electronics,Phones,143.15,226.71
P00563,Clothing,Men,206.61,395.84
P00564,Grocery,Beverages,652.48,1029.88
P00565,Toys,Kids Toys,408.55,677.79
P00566,Beauty,Makeup,366.74,763.68
P00567,Home,Furniture,250.94,609.49
P00568,Beauty,Fragrance,754.47,1265.79
P00569,Baby,Diapers,234.76,657.69
P00570,Office,Supplies,714.17,1461.82
P00571,Home,Furniture,660.18,1364.76
P00572,Office,Accessories,729.86,1102.69
P00573,Beauty,Personal Care,230.21,326.52
P00574,Office,Supplies,767.8,1163.09
P00575,Home,Kitchen,1063.11,1433.67
P00576,Beauty,Personal Care,729.78,1340.48
P00577,Home,Kitchen,673.5,1425.6
P00578,Toys,Board Games,10.28,15.44
P00579,Toys,Kids Toys,353.06,798.99
P00580,Clothing,Kids,849.13,1440.48
P00581,Office,Electronics,206.69,289.78
P00582,Home,Storage,603.11,959.3
P00583,Grocery,Fresh,180.37,317.83
P00584,Home,Kitchen,555.33,1050.95
P00585,Beauty,Fragrance,709.53,1352.61
P00586,Clothing,Shoes,432.27,1066.87
P00587,Sports,Team Sports,517.77,1069.53
P00588,Electronics,TV & Video,811.44,1220.36
P00589,Beauty,Fragrance,617.97,820.14
P00590,Home,Bedding,861.92,1299.89
P00591,Beauty,Makeup,500.21,667.81
P00592,Clothing,Shoes,481.82,1249.06
P00593,Office,Furniture,310.6,444.47
P00594,Clothing,Men,444.87,1012.08
P00595,Baby,Feeding,73.94,95.74
P00596,Sports,Fitness,253.96,457.03
P00597,Beauty,Fragrance,307.0,625.35
P00598,Sports,Fitness,169.15,455.87
P00599,Grocery,Beverages,787.08,1108.64
P00600,Baby,Gear,545.33,886.99
P00601,Electronics,Smart Home,520.62,903.24
P00602,Clothing,Athleisure,524.2,752.33
P00603,Grocery,Pantry,223.83,297.52
P00604,Grocery,Frozen,934.31,1215.74
P00605,Toys,Kids Toys,656.32,904.41
P00606,Sports,Outdoor,427.04,1133.93
P00607,Home,Storage,850.17,1419.73
P00608,Grocery,Frozen,526.93,1037.5
P00609,Sports,Cycling,28.59,67.27
P00610,Electronics,Gaming,480.23,972.98
P00611,Beauty,Haircare,615.96,949.21
P00612,Sports,Fitness,572.28,911.57
P00613,Toys,Board Games,557.3,771.17
P00614,Baby,Clothing,432.35,699.24
P00615,Sports,Cycling,202.69,458.74
P00616,Office,Accessories,480.87,669.63
P00617,Beauty,Fragrance,78.9,130.01
P00618,Electronics,Computers,68.23,108.77
P00619,Beauty,Makeup,704.69,1013.04
P00620,Electronics,Phones,345.4,818.67
P00621,Electronics,TV & Video,96.13,274.42
P00622,Electronics,Gaming,315.49,431.98
P00623,Grocery,Frozen,131.02,283.61
P00624,Office,Supplies,939.86,1191.24
P00625,Toys,STEM Toys,285.26,496.68
P00626,Baby,Clothing,568.79,975.45
P00627,Home,Furniture,773.99,1144.87
P00628,Beauty,Makeup,469.88,1221.07
P00629,Baby,Diapers,343.35,735.84
P00630,Grocery,Fresh,676.64,1296.46
P00631,Clothing,Men,464.72,667.73
P00632,Beauty,Personal Care,204.4,336.83
P00633,Grocery,Pantry,306.18,476.61
P00634,Beauty,Personal Care,318.33,854.76
P00635,Sports,Team Sports,159.48,347.61
P00636,Sports,Cycling,810.12,1156.79
P00637,Electronics,TV & Video,80.55,102.43
P00638,Home,Storage,488.48,963.5
P00639,Sports,Outdoor,434.61,1147.26
P00640,Office,Supplies,634.63,819.86
P00641,Toys,Collectibles,515.06,1029.75
P00642,Beauty,Personal Care,773.45,1192.6
P00643,Electronics,Audio,133.22,330.45
