order_id,customer_id,order_date,sales_channel,order_status
O0000188,C09257,2020-08-29,Pickup,Completed
O0000189,C08584,2023-12-10,Online,Completed
O0000190,C04980,2023-02-23,Online,Completed
O0000191,C07622,2020-10-03,Online,Completed
O0000192,C05107,2021-12-26,Online,Returned
O0000193,C07931,2022-12-27,Online,Completed
O0000194,C09879,2021-08-17,Online,Completed
O0000195,C06121,2022-12-06,Store,Completed
O0000196,C06840,2022-12-25,Online,Completed
O0000197,C01799,2024-05-10,Store,Completed
O0000198,C01582,2022-07-31,Online,Completed
O0000199,C07834,2020-04-29,Online,Completed
O0000200,C08696,2020-12-18,Pickup,Completed
O0000201,C04285,2022-11-18,Store,Completed
O0000202,C07957,2020-10-12,Online,Completed
O0000203,C00415,2020-06-26,Store,Completed
O0000204,C04015,2024-10-25,Online,Completed
O0000205,C06557,2022-11-09,Store,Completed
O0000206,C07857,2022-09-30,Online,Completed
O0000207,C00803,2022-08-19,Online,Completed
O0000208,C01158,2021-12-17,Pickup,Completed
O0000209,C03598,2023-12-27,Pickup,Completed
O0000210,C05316,2022-09-13,Delivery,Completed
O0000211,C03595,2024-07-07,Online,Completed
O0000212,C01060,2023-09-28,Store,Completed
O0000213,C07921,2021-03-07,Online,Completed
O0000214,C02576,2023-12-06,Online,Cancelled
O0000215,C07430,2022-03-05,Delivery,Completed
O0000216,C03221,2020-04-13,Store,Completed
O0000217,C07054,2022-04-16,Online,Completed
O0000218,C08213,2021-04-30,Online,Completed
O0000219,C08531,2021-04-17,Online,Completed
O0000220,C05081,2024-05-15,Online,Completed
O0000221,C07936,2024-07-12,Online,Completed
O0000222,C06352,2020-07-03,Delivery,Completed
O0000223,C05322,2022-03-05,Store,Completed
O0000224,C02128,2020-12-31,Pickup,Completed
O0000225,C03110,2024-05-16,Delivery,Completed
O0000226,C04067,2021-12-14,Store,Completed
O0000227,C07757,2023-12-29,Online,Completed
O0000228,C07182,2023-12-29,Store,Completed
O0000229,C04687,2024-06-02,Store,Completed
O0000230,C07269,2023-10-11,Online,Completed
O0000231,C02058,2022-04-05,Online,Completed
O0000232,C08919,2021-06-27,Delivery,Completed
O0000233,C00149,2021-10-30,Online,Completed
O0000234,C01739,2022-01-11,Store,Completed
O0000235,C09432,2023-06-18,Online,Completed
O0000236,C08040,2022-11-27,Pickup,Completed
O0000237,C08178,2020-10-24,Store,Completed
O0000238,C09601,2023-10-12,Store,Cancelled
O0000239,C01631,2024-08-13,Online,Returned
O0000240,C04717,2022-03-01,Store,Completed
O0000241,C05051,2024-05-30,Online,Completed
O0000242,C03027,2023-01-15,Store,Completed
O0000243,C04923,2023-03-04,Online,Completed
O0000244,C00830,2021-03-02,Online,Cancelled
O0000245,C06923,2023-02-04,Online,Completed
O0000246,C05238,2021-10-11,Delivery,Completed
O0000247,C00380,2021-04-29,Online,Completed
O0000248,C01317,2021-02-27,Online,Completed
O0000249,C00748,2023-11-19,Online,Completed
O0000250,C09449,2022-11-25,Delivery,Completed
O0000251,C04962,2021-08-01,Store,Completed
O0000252,C05248,2022-07-28,Store,Completed
O0000253,C05357,2023-12-25,Delivery,Completed
O0000254,C08687,2024-12-20,Store,Completed
O0000255,C08083,2021-12-31,Store,Completed
O0000256,C01723,2024-12-26,Pickup,Completed
O0000257,C09220,2024-09-06,Store,Completed
O0000258,C02289,2021-10-12,Online,Completed
O0000259,C06103,2023-07-18,Pickup,Completed
O0000260,C00124,2024-01-07,Online,Completed
O0000261,C02367,2023-12-19,Delivery,Completed
O0000262,C06651,2021-08-15,Online,Completed
O0000263,C06792,2024-05-18,Online,Completed
O0000264,C01343,2020-09-14,Online,Completed
O0000265,C04069,2022-12-16,Online,Completed
O0000266,C04964,2021-07-11,Online,Completed
O0000267,C09130,2021-08-24,Online,Completed
O0000268,C03274,2020-11-28,Delivery,Completed
O0000269,C03192,2022-03-11,Online,Completed
O0000270,C04567,2022-03-14,Pickup,Completed
O0000271,C01285,2023-12-25,Store,Completed
O0000272,C05516,2021-02-28,Pickup,Completed
O0000273,C01196,2024-04-25,Online,Completed
O0000274,C03623,2024-05-09,Online,Completed
O0000275,C09667,2024-09-20,Online,Completed
O0000276,C03127,2024-10-06,Pickup,Completed
O0000277,C04298,2020-12-01,Store,Completed
O0000278,C00647,2021-11-30,Online,Completed
O0000279,C03224,2021-10-15,Store,Completed
O0000280,C04991,2023-02-16,Store,Completed
O0000281,C09363,2020-03-23,Delivery,Completed
O0000282,C08999,2024-05-09,Online,Completed
O0000283,C09840,2023-03-13,Store,Returned
O0000284,C07988,2020-03-26,Store,Completed
O0000285,C06216,2021-06-23,Online,Completed
O0000286,C07652,2020-03-05,Pickup,Returned
O0000287,C06459,2024-07-23,Online,Completed
O0000288,C09513,2024-08-24,Online,Completed
O0000289,C05797,2024-11-16,Online,Completed
O0000290,C09068,2024-05-22,Online,Completed
O0000291,C01737,2023-07-13,Online,Returned
O0000292,C04222,2022-11-21,Store,Completed
O0000293,C07488,2024-11-30,Online,Returned
O0000294,C03230,2021-12-31,Online,Completed
O0000295,C07743,2021-12-21,Store,Completed
O0000296,C06247,2021-06-26,Pickup,Completed
O0000297,C05582,2020-11-06,Online,Completed
O0000298,C08758,2020-08-01,Online,Completed
O0000299,C05784,2024-07-15,Store,Completed
O0000300,C06144,2020-01-01,Online,Completed
O0000301,C01086,2024-11-24,Online,Completed
O0000302,C05157,2023-02-24,Online,Completed
O0000303,C06342,2020-12-31,Online,Returned
O0000304,C02640,2021-11-08,Online,Completed
O0000305,C04989,2020-12-26,Pickup,Completed
O0000306,C04043,2022-03-21,Online,Completed
O0000307,C08029,2023-09-30,Store,Completed
O0000308,C05221,2021-11-06,Online,Completed
O0000309,C04019,2023-05-24,Online,Completed
O0000310,C07326,2024-12-25,Online,Completed
O0000311,C05354,2023-11-04,Store,Cancelled
O0000312,C00271,2021-03-07,Store,Completed
O0000313,C01954,2022-01-11,Online,Completed
O0000314,C09738,2023-02-15,Online,Completed
O0000315,C04501,2022-12-21,Store,Completed
O0000316,C05911,2021-04-19,Store,Completed
O0000317,C02183,2020-08-09,Online,Completed
O0000318,C03736,2023-08-27,Online,Completed
O0000319,C07726,2024-09-07,Online,Cancelled
O0000320,C00817,2020-04-12,Store,Completed
O0000321,C04352,2023-12-17,Online,Completed
O0000322,C00579,2023-06-03,Online,Completed
O0000323,C06431,2023-06-06,Online,Completed
O0000324,C04475,2020-12-14,Store,Completed
O0000325,C02253,2021-10-20,Online,Completed
O0000326,C08084,2020-12-05,Pickup,Completed
O0000327,C00175,2022-10-16,Pickup,Completed
O0000328,C04053,2020-10-10,Online,Completed
O0000329,C04205,2024-11-27,Online,Completed
O0000330,C00357,2020-11-01,Online,Completed
O0000331,C02080,2023-08-19,Store,Completed
O0000332,C06436,2023-08-24,Online,Completed
O0000333,C09332,2022-02-05,Online,Cancelled
O0000334,C09840,2020-11-22,Online,Completed
O0000335,C00038,2020-08-15,Delivery,Returned
O0000336,C08979,2020-11-02,Online,Completed
O0000337,C05978,2022-06-13,Online,Completed
O0000338,C01925,2021-03-25,Online,Completed
O0000339,C06599,2021-09-26,Online,Cancelled
O0000340,C04407,2020-12-12,Store,Completed
O0000341,C05192,2021-12-28,Online,Completed
O0000342,C07372,2024-11-08,Online,Completed
O0000343,C04507,2022-05-27,Online,Completed
O0000344,C09377,2023-09-25,Pickup,Completed
O0000345,C05012,2023-11-21,Online,Completed
O0000346,C05273,2020-11-28,Delivery,Completed
O0000347,C02989,2024-10-25,Online,Completed
O0000348,C01683,2021-02-21,Store,Completed
O0000349,C09409,2021-03-31,Online,Completed
O0000350,C05467,2024-01-09,Online,Completed
O0000351,C04246,2020-03-15,Store,Completed
O0000352,C03650,2021-07-26,Store,Completed
O0000353,C09371,2020-04-25,Online,Completed
O0000354,C03891,2023-10-29,Online,Completed
O0000355,C08335,2023-12-01,Store,Completed
O0000356,C07715,2021-12-09,Online,Completed
O0000357,C02773,2020-12-19,Online,Completed
O0000358,C04814,2021-03-28,Store,Completed
O0000359,C09364,2020-12-29,Pickup,Completed
O0000360,C09456,2021-11-07,Online,Completed
O0000361,C09440,2020-09-09,Online,Completed
O0000362,C03049,2022-01-07,Online,Completed
O0000363,C07629,2020-11-25,Online,Completed
O0000364,C09754,2023-04-29,Store,Completed
O0000365,C00121,2022-08-07,Online,Completed
O0000366,C00157,2022-12-29,Online,Completed
O0000367,C05747,2021-12-17,Online,Completed
O0000368,C02411,2021-04-13,Pickup,Completed
O0000369,C00843,2021-03-16,Online,Completed
O0000370,C02905,2023-07-22,Online,Returned
O0000371,C03623,2024-06-08,Online,Completed
O0000372,C09054,2023-05-20,Online,Completed
O0000373,C08849,2024-04-08,Store,Completed
O0000374,C01386,2020-09-12,Delivery,Returned
O0000375,C08555,2021-07-30,Online,Completed
O0000376,C00342,2023-05-20,Store,Cancelled
O0000377,C05743,2024-07-09,Online,Completed
O0000378,C09400,2020-11-16,Store,Completed
O0000379,C09822,2021-03-14,Store,Completed
O0000380,C08182,2021-10-23,Store,Completed
O0000381,C01571,2022-06-21,Store,Completed
O0000382,C03742,2021-07-29,Store,Completed
O0000383,C02814,2020-05-15,Online,Completed
O0000384,C04282,2023-09-18,Online,Completed
O0000385,C02697,2020-12-15,Store,Completed
O0000386,C07770,2024-06-01,Store,Completed
O0000387,C05514,2024-10-19,Online,Completed
O0000388,C01682,2023-09-05,Online,Completed
O0000389,C00644,2024-10-12,Online,Completed
O0000390,C09481,2021-08-23,Online,Completed
O0000391,C01637,2021-12-01,Online,Completed
O0000392,C02498,2020-01-20,Online,Completed
O0000393,C06723,2020-09-03,Store,Completed
O0000394,C04087,2023-04-18,Online,Completed
O0000395,C03938,2020-05-11,Online,Completed
O0000396,C09018,2022-10-13,Store,Completed
O0000397,C09737,2022-08-07,Store,Completed
O0000398,C05731,2020-08-30,Delivery,Returned
O0000399,C01157,2020-11-19,Online,Completed
O0000400,C02335,2023-11-16,Online,Completed
O0000401,C04340,2023-01-30,Online,Completed
O0000402,C01647,2024-02-07,Delivery,Completed
O0000403,C09618,2022-10-04,Store,Completed
O0000404,C00566,2024-12-15,Store,Completed
O0000405,C09046,2023-05-25,Store,Returned
O0000406,C03072,2021-08-25,Online,Completed
O0000407,C04487,2022-01-01,Online,Returned
O0000408,C01745,2020-10-15,Online,Completed
O0000409,C06184,2021-03-08,Online,Completed
O0000410,C08131,2024-08-01,Online,Completed
O0000411,C00708,2022-09-18,Online,Completed
O0000412,C02095,2020-10-17,Online,Completed
O0000413,C04132,2021-06-19,Store,Completed
O0000414,C09300,2021-12-03,Online,Completed
O0000415,C03151,2023-05-12,Online,Returned
O0000416,C01292,2023-07-12,Online,Completed
O0000417,C04884,2023-02-08,Online,Completed
O0000418,C00531,2021-04-06,Online,Completed
O0000419,C09144,2020-12-26,Online,Completed
O0000420,C08627,2024-09-19,Online,Completed
O0000421,C05697,2023-12-26,Online,Completed
O0000422,C00209,2020-11-19,Store,Completed
O0000423,C08009,2022-12-30,Delivery,Completed
O0000424,C00629,2021-09-02,Online,Completed
O0000425,C05241,2021-11-25,Online,Completed
O0000426,C05070,2024-04-12,Online,Completed
O0000427,C09496,2024-07-19,Online,Completed
O0000428,C09358,2024-06-02,Online,Completed
O0000429,C09419,2022-03-26,Store,Completed
O0000430,C01358,2022-04-24,Online,Completed
O0000431,C06363,2022-09-13,Online,Completed
O0000432,C03225,2020-11-28,Store,Completed
O0000433,C08093,2021-03-06,Delivery,Returned
O0000434,C07263,2021-04-03,Store,Completed
O0000435,C02230,2022-07-31,Store,Completed
O0000436,C04514,2020-12-25,Store,Completed
O0000437,C00937,2020-10-04,Store,Completed
O0000438,C02627,2021-07-27,Online,Completed
O0000439,C08408,2024-08-03,Online,Completed
O0000440,C06138,2022-12-01,Online,Completed
O0000441,C07934,2023-04-27,Online,Completed
O0000442,C01409,2024-11-25,Online,Completed
O0000443,C06622,2024-09-07,Online,Completed
O0000444,C06562,2022-05-30,Online,Returned
O0000445,C07696,2023-12-30,Online,Returned
O0000446,C01807,2021-06-24,Online,Completed
O0000447,C09646,2024-05-02,Online,Completed
O0000448,C04166,2023-08-21,Online,Completed
O0000449,C00318,2022-11-08,Online,Completed
O0000450,C09049,2024-09-26,Store,Completed
O0000451,C03778,2023-12-20,Store,Completed
O0000452,C08340,2022-04-07,Online,Completed
O0000453,C02653,2022-01-02,Online,Completed
O0000454,C02699,2023-07-09,Online,Completed
O0000455,C07015,2023-02-03,Online,Returned
O0000456,C04517,2024-11-12,Store,Completed
O0000457,C04036,2020-05-29,Delivery,Completed
O0000458,C09063,2023-11-13,Delivery,Completed
O0000459,C02175,2022-06-16,Delivery,Completed
O0000460,C04115,2023-11-23,Delivery,Completed
O0000461,C00964,2020-12-22,Online,Completed
O0000462,C01624,2021-08-28,Online,Completed
O0000463,C03359,2022-09-18,Online,Completed
O0000464,C02623,2021-09-26,Online,Completed
O0000465,C05650,2022-05-11,Delivery,Completed
O0000466,C02574,2024-12-22,Store,Completed
O0000467,C08237,2021-09-15,Online,Completed
O0000468,C09499,2020-05-06,Online,Completed
O0000469,C02275,2021-12-26,Pickup,Completed
O0000470,C04734,2020-08-23,Online,Completed
O0000471,C06294,2022-05-16,Store,Completed
O0000472,C00285,2021-05-30,Online,Completed
O0000473,C04595,2022-02-05,Delivery,Completed
O0000474,C01228,2020-11-02,Online,Completed
O0000475,C04908,2022-02-28,Delivery,Returned
O0000476,C02608,2022-09-25,Online,Completed
O0000477,C07971,2023-09-01,Online,Completed
O0000478,C00730,2020-08-17,Online,Completed
O0000479,C00900,2021-05-02,Store,Cancelled
O0000480,C02333,2022-07-07,Store,Completed
O0000481,C08874,2022-06-08,Store,Completed
O0000482,C05426,2024-12-11,Online,Completed
O0000483,C01450,2021-12-02,Online,Completed
O0000484,C00274,2022-10-27,Store,Returned
O0000485,C02880,2022-08-05,Online,Completed
O0000486,C04080,2020-02-12,Store,Completed
O0000487,C02974,2020-12-28,Online,Completed
O0000488,C04732,2021-09-21,Online,Completed
O0000489,C03632,2020-01-24,Delivery,Completed
O0000490,C01601,2023-02-11,Online,Returned
O0000491,C03174,2024-12-28,Store,Cancelled
O0000492,C05240,2024-04-24,Online,Completed
O0000493,C00677,2024-08-24,Delivery,Completed
O0000494,C08712,2024-03-16,Delivery,Completed
O0000495,C03113,2023-12-06,Store,Cancelled
O0000496,C08724,2024-10-28,Store,Completed
O0000497,C03481,2024-08-20,Store,Completed
O0000498,C04019,2021-12-26,Store,Completed
O0000499,C00169,2024-08-11,Online,Cancelled
O0000500,C06255,2023-12-17,Online,Completed
O0000501,C08981,2024-09-05,Online,Completed
O0000502,C00275,2021-07-13,Store,Completed
O0000503,C06792,2024-09-29,Store,Cancelled
O0000504,C00891,2020-04-12,Store,Completed
O0000505,C09704,2022-11-11,Online,Cancelled
O0000506,C07408,2024-10-23,Online,Returned
O0000507,C01690,2021-08-01,Online,Completed
O0000508,C07267,2023-12-23,Online,Completed
O0000509,C08180,2021-03-05,Online,Completed
O0000510,C07584,2021-01-20,Store,Completed
O0000511,C08189,2022-11-26,Delivery,Cancelled
O0000512,C06662,2020-10-15,Online,Completed
O0000513,C06437,2021-02-14,Store,Completed
O0000514,C00732,2024-04-06,Online,Completed
O0000515,C02963,2021-12-13,Store,Completed
O0000516,C05288,2021-12-05,Online,Completed
O0000517,C06207,2021-11-06,Online,Completed
O0000518,C04392,2021-11-19,Delivery,Completed
O0000519,C09772,2020-03-22,Online,Completed
O0000520,C09813,2023-09-23,Delivery,Completed
O0000521,C01377,2020-10-31,Online,Completed
O0000522,C03067,2020-12-29,Pickup,Completed
O0000523,C01117,2023-12-18,Online,Completed
O0000524,C04471,2020-10-25,Online,Returned
O0000525,C02704,2020-04-13,Store,Completed
O0000526,C02328,2020-07-18,Delivery,Completed
O0000527,C07733,2022-10-12,Store,Completed
O0000528,C04959,2024-02-08,Online,Completed
O0000529,C00334,2024-12-01,Pickup,Completed
O0000530,C04317,2021-05-13,Store,Completed
O0000531,C00612,2021-08-05,Online,Completed
O0000532,C00430,2024-06-06,Delivery,Completed
O0000533,C09022,2020-01-30,Online,Completed
O0000534,C01384,2020-03-21,Store,Completed
O0000535,C08152,2024-04-15,Online,Completed
O0000536,C00986,2024-07-23,Delivery,Completed
O0000537,C02739,2020-09-27,Store,Completed
O0000538,C01264,2020-10-18,Online,Completed
O0000539,C06281,2021-01-12,Store,Cancelled
O0000540,C05676,2021-06-18,Delivery,Completed
O0000541,C07105,2020-05-20,Online,Completed
O0000542,C06351,2021-04-21,Online,Completed
O0000543,C08774,2022-11-10,Pickup,Returned
O0000544,C03782,2021-06-28,Online,Completed
O0000545,C02398,2021-11-13,Store,Completed
O0000546,C05013,2023-10-12,Delivery,Completed
O0000547,C06662,2024-12-21,Store,Completed
O0000548,C03170,2024-03-09,Delivery,Completed
O0000549,C03279,2024-12-12,Delivery,Cancelled
O0000550,C04470,2022-02-25,Store,Completed
O0000551,C02796,2022-06-21,Online,Completed
O0000552,C00373,2022-02-11,Online,Completed
O0000553,C06004,2021-04-11,Pickup,Completed
O0000554,C08325,2023-07-02,Online,Completed
O0000555,C00463,2024-02-02,Online,Cancelled
O0000556,C07177,2020-07-11,Delivery,Completed
O0000557,C09754,2021-11-05,Delivery,Completed
O0000558,C09828,2021-12-21,Store,Completed
O0000559,C01965,2024-11-15,Store,Completed
O0000560,C00892,2023-11-28,Online,Completed
O0000561,C01146,2020-11-01,Online,Completed
O0000562,C04092,2024-10-19,Delivery,Completed
O0000563,C00576,2023-06-01,Online,Completed
O0000564,C07471,2023-12-17,Store,Completed
O0000565,C09363,2021-07-04,Online,Completed
O0000566,C01679,2024-05-03,Store,Completed
O0000567,C02612,2024-09-02,Online,Completed
O0000568,C04670,2022-11-12,Online,Completed
O0000569,C05337,2023-09-02,Online,Completed
O0000570,C04711,2020-08-14,Online,Completed
O0000571,C06039,2020-03-22,Store,Completed
O0000572,C04127,2023-02-23,Online,Completed
O0000573,C02554,2021-10-19,Online,Completed
O0000574,C02969,2021-09-09,Pickup,Cancelled
O0000575,C08740,2020-08-08,Online,Cancelled
O0000576,C05147,2022-01-14,Online,Completed
O0000577,C00599,2022-12-03,Online,Completed
O0000578,C05776,2023-10-08,Online,Completed
O0000579,C00328,2020-12-15,Store,Completed
O0000580,C03330,2021-09-02,Store,Completed
O0000581,C06808,2021-09-15,Online,Returned
O0000582,C06273,2020-07-06,Online,Completed
O0000583,C07310,2022-01-11,Store,Completed
O0000584,C03139,2022-09-26,Store,Completed
O0000585,C09597,2020-06-13,Store,Completed
O0000586,C01236,2021-07-10,Store,Completed
O0000587,C02714,2021-11-20,Delivery,Returned
O0000588,C09355,2024-12-23,Online,Completed
O0000589,C09143,2021-05-24,Online,Completed
O0000590,C00030,2024-10-04,Online,Completed
O0000591,C08965,2020-05-20,Pickup,Completed
O0000592,C05855,2022-05-07,Online,Completed
O0000593,C09145,2022-03-27,Online,Completed
O0000594,C02386,2022-08-17,Online,Completed
